gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges}","{Excessive force,False arrest or report}","{Gun,Physical force}",Excessive force,28500.00
M,White,Police Officer,"","{Hospitalized,Resisting or obstructing arrest charges}","{Excessive force,False arrest or report}","{Gun,Physical force}",Excessive force,28500.00
M,Black,Police Officer,"",{Drug charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,80000.00
M,Black,Police Officer,"",{Drug charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,80000.00
M,White,Police Officer,{Traffic stop},"","{Destroy/conceal/fabricate evidence,Illegal search/seizure}",{Gun},False arrest,50000.00
M,White,Police Officer,{Traffic stop},"","{Destroy/conceal/fabricate evidence,Illegal search/seizure}",{Gun},False arrest,50000.00
M,White,Police Officer,{Traffic stop},"",{Excessive force},{Physical force},Excessive force/minor,1500.00
M,Hispanic,Sergeant of Police,{Traffic stop},"",{Excessive force},{Physical force},Excessive force/minor,1500.00
M,Hispanic,Sergeant of Police,{Stop and frisk},{Drug charges},"{Excessive force,False arrest or report}",{Gun},False arrest,40000.00
M,White,Police Officer as Detective,{Stop and frisk},{Drug charges},"{Excessive force,False arrest or report}",{Gun},False arrest,40000.00
M,White,Lieutenant of Police,{Stop and frisk},{Drug charges},"{Excessive force,False arrest or report}",{Gun},False arrest,40000.00
M,White,Police Officer,"{Lock-up,Home invasion}","{Hospitalized,Resisting or obstructing arrest charges}","{Excessive force,Illegal search/seizure,False arrest or report}","{Taser,Physical force}",Illegal search/seizure,20500.00
M,White,Police Officer,"{Lock-up,Home invasion}","{Hospitalized,Resisting or obstructing arrest charges}","{Excessive force,Illegal search/seizure,False arrest or report}","{Taser,Physical force}",Illegal search/seizure,20500.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Excessive force,Stolen property,Threats/intimidation,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,70000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force,Stolen property,Threats/intimidation,Illegal search/seizure}","{Gun,Physical force}",Illegal search/seizure,70000.00
M,Hispanic,Sergeant of Police,"",{Drug charges},{False arrest or report},"",False arrest,27000.00
M,Hispanic,Police Officer,"",{Drug charges},{False arrest or report},"",False arrest,27000.00
M,Hispanic,Police Officer,"",{Drug charges},{False arrest or report},"",False arrest,27000.00
M,Hispanic,Police Officer,{Traffic stop},"","{Strip search,Excessive force}","",Excessive force/minor,12795.00
